Site,Address,Category,Subcategory,Status,Longitude,Latitude
Nativity Satellite Program,3255 Belgrade St,PCA,Senior Meal Site,Active,-75.10278303,39.98691001
King Older Adult Center,2100 W. Cecil B. Moore Ave.,PPR_Senior,Senior Meal Site,Active,-75.1696037,39.97998455
Bethel Worship Center,169 W. Wyoming Ave.,SHARE FOOD PROGRAM,Food Site,Active,-75.12701983,40.02204029
Hope Prison Ministries,735 W. Butler St.,SHARE FOOD PROGRAM,Food Site,Active,-75.13759271,40.02649652
Frontline Dads (410 N 34th St.),410 N 34th St,SHARE FOOD PROGRAM,Food Site,Permanently Closed,-75.19128904,39.96170764
New Life Community Center,4726 N Broad St,SHARE FOOD PROGRAM,Food Site,Active,-75.14790726,40.02544206
Family Support Circle,2059 E Chelten Ave,SHARE FOOD PROGRAM,Food Site,Active,-75.15405898,40.05188536
Second Antioch Baptist Church,912 N 41st St,SHARE FOOD PROGRAM,Food Site,Active,-75.20607914,39.97080192
Resurrection Community Church,6200 Dicks Ave,PHILABUNDANCE/SHARE FOOD PROGRAM,Food Site,Active,-75.22391889,39.92224244
St. Benedict Food Bank,1940 E Chelten Ave,SHARE FOOD PROGRAM,Food Site,Active,-75.15165703,40.0515649
George Washington High School Pantry,10175 Bustleton Ave,PHILABUNDANCE,Food Site,Active,-75.02601768,40.10591552
"The Reid Foundation, Inc. at Always Independent",9150 Marshall Street,SHARE FOOD PROGRAM,Food Site,Active,-75.03133598,40.07240979
Church of Pentecost,2530 Wharton St,SHARE FOOD PROGRAM,Food Site,Active,-75.18692388,39.93649478
Friends Rehabilitation Program,704 W Girard Ave,SHARE FOOD PROGRAM,Food Site,Active  ,-75.14848012,39.97021618
North Philadelphia SDA Church,1510 W Oxford St,SHARE FOOD PROGRAM,Food Site,Active,-75.16113704,39.97751359
Revelation Philadelphia Ministry Inc,7047 Buist Ave,SHARE FOOD PROGRAM,Food Site,Active,-75.2374023,39.91525876
Brand New Life Christian Center,6301 Germantown Ave,PHILABUNDANCE,Food Site,Active,-75.1806657,40.04373858
Brewerytown Sharswood Coalition,3000 W Master St,PHILABUNDANCE,Food Site,Active,-75.18537684,39.97736743
Eastwick United Methodist Church,8325 Lindbergh Blvd,PHILABUNDANCE,Food Site,Active,-75.2522683,39.89850643
Ezekiel Baptist Church,5701 Grays Ave,PHILABUNDANCE,Food Site,Active,-75.22163117,39.93096142
Good Samaritan Baptist Church,6148-6150 Lansdowne Ave,PHILABUNDANCE,Food Site,Active,-75.24340366,39.9753951
Kitchen of Love,8500 Pickering Ave,PHILABUNDANCE,Food Site,Active,-75.17462411,40.08134157
New Testament Church of God,935 S 53rd St,SHARE FOOD PROGRAM,Food Site,Active,-75.22704018,39.9456065
Gather the People House of Prayer,1429 W Clearfield St,SHARE FOOD PROGRAM,Food Site,Active,-75.15419266,40.00026453
Interfaith Food Cupboard,3600 Baring St,SHARE FOOD PROGRAM,Food Site,Active,-75.19417976,39.96088086
Kingdom Life Christian Center,6325 Frankford Ave.,SHARE FOOD PROGRAM,Food Site,Active,-75.05876429,40.02796708
MAP Holistic CDC (Mankind Against Poverty),1510 W Stiles St,SHARE FOOD PROGRAM,Food Site,Active,-75.16149933,39.9725544
St Paul A.M.E. Church,8398 Lindbergh Blvd,SHARE FOOD PROGRAM,Food Site,Active,-75.25162369,39.89766769
Grace Tabernacle Christian Church,1519 S 52nd St,PHILABUNDANCE,Food Site,Active,-75.21664267,39.93886863
Norris Homes/North Central Community Center,2000 N 11th St,SHARE FOOD PROGRAM,Food Site,Active,-75.15170413,39.98293998
James Varick AME Zion Church,2001 Reed Street,NDS,,,-75.17750994,39.93433159
Centre d'Adoration Chretienne,4520 Benner St,SHARE FOOD PROGRAM,Food Site,Active,-75.05905046,40.01987579
Consortium Community Mental Health Center,137 S. 58th St.,SHARE FOOD PROGRAM,Food Site,Active,-75.23715481,39.9585887
Courtyard Apartments at Riverview,1021 South 4th St,SHARE FOOD PROGRAM,Food Site,Active,-75.15018066,39.9348904
Haddington Overbrook Resident Council,648 N 57th St,SHARE FOOD PROGRAM,Food Site,Active,-75.23434846,39.96989905
Katie's Cupboard at Tabor,4860 N Howard St,SHARE FOOD PROGRAM,Food Site,Active,-75.1250505,40.02458619
Mantua Haverford Community Center/Mt. Vernon Manor CDC,1103 N. 40th St.,SHARE FOOD PROGRAM,Food Site,Active,-75.19961741,39.96407033
Men Who Care of Germantown Inc,180 E Tulpehocken St,SHARE FOOD PROGRAM,Food Site,Active,-75.17660296,40.04505992
Mount Hebron Baptist Church,1419 Wharton St,PHILABUNDANCE/SHARE FOOD PROGRAM,Food Site,Active,-75.16860444,39.93441271
New Bethany Baptist Church,1415 S 23rd St,SHARE FOOD PROGRAM,Food Site,Active,-75.1825017,39.9343041
Reconciliation And Liberty Bible Church,6027 Chestnut St,SHARE FOOD PROGRAM,Food Site,Active,-75.24198807,39.96075502
The Charles Foundation,605 N 52nd St,SHARE FOOD PROGRAM,Food Site,Permanently Closed,-75.22512083,39.96970081
Women Walking in Victory,2441 N 29th St,SHARE FOOD PROGRAM,Food Site,Active,-75.17919462,39.99338217
Jerusalem French Church,537 E. Wyoming Ave.,SHARE FOOD PROGRAM,Food Site,Active,-75.11483996,40.02055924
Philly House,302 N 13th St.,Office of Homeless Services,General Meal Site,Active,-75.16027272,39.95810147
The Perimeter,213-217 N 4th St,Office of Homeless Services,General Meal Site,Active,-75.1461239,39.95469746
St. Francis Inn,2441 Kensington Ave,Office of Homeless Services,General Meal Site,Active,-75.13057983,39.98687618
