Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits,Snap Percentage
42101000100,3478,2301,0,0,0,6.937109938,124729.0,0,0,,,,,,,,12,0
42101000200,2937,1145,0,0,1,29.25336597,47806.0,0,0,,,,,,,,95,8
42101000300,3169,1855,0,0,0,9.255219695,143482.0,0,0,,,,,,,,32,1
42101000401,2125,1584,0,0,0,17.69739401,129531.0,0,0,,,,,,,,202,12
42101000402,3142,2273,0,0,0,4.690721649,125917.0,0,0,,,,,,,,78,3
42101000500,2329,684,0,0,1,33.15363881,108636.0,0,0,,,,,,,,108,15
42101000600,1781,723,0,0,0,12.94964029,130096.0,0,0,,,,,,,,25,3
42101000700,3082,2176,0,0,0,14.5239376,144259.0,0,0,,,,,,,,73,3
42101000801,1562,1017,0,0,0,8.817354794,216375.0,0,0,,,,,,,,0,0
42101000803,3601,2590,0,0,0,6.65374677,125865.0,0,0,,,,,,,,15,0
42101000804,3609,2589,0,0,0,8.765112263,170484.0,0,0,,,,,,,,51,1
42101000901,2276,1729,0,0,1,24.58128079,92292.0,0,0,,,,,,,,89,5
42101000902,2773,1419,0,0,0,13.86095321,197891.0,0,0,,,,,,,,320,22
42101001001,2603,1600,0,0,0,5.275590551,163309.0,0,0,,,,,,,,9,0
42101001002,3612,2099,0,0,0,5.838580424,170671.0,0,0,,,,,,,,16,0
42101001101,3586,2097,0,0,0,19.12286359,165385.0,0,0,,,,,,,,122,5
42101001102,2659,1624,0,0,0,16.36587367,114167.0,0,0,,,,,,,,59,3
42101001201,3778,2052,0,0,0,4.093137255,164464.0,0,0,0.0,0.0,0.0,,,0.0,,43,2
42101001202,5137,3131,0,0,0,9.362835485,169408.0,0,0,,,,,,,,11,0
42101001300,4942,2470,0,0,0,6.419679016,142444.0,0,0,0.0,0.0,0.0,,,0.0,,420,17
42101001400,3950,2129,0,0,0,11.63408158,181106.0,0,0,,,,,,,,288,13
42101001500,2708,1336,0,0,0,9.802673456,124718.0,0,0,,,,,,,,159,11
42101001600,2192,1162,0,0,0,6.182572614,196964.0,0,0,,,,,,,,8,0
42101001700,2647,1392,0,0,0,3.786117569,166771.0,0,0,,,,,,,,48,3
42101001800,2873,1382,0,0,0,5.018028846,126923.0,0,0,,,,,,,,96,6
42101001900,2721,1292,0,0,0,10.58415269,112569.0,0,0,,,,,,,,167,12
42101002000,2092,861,0,0,1,18.45991561,48024.0,0,0,,,,,,,,231,26
42101002100,2036,840,0,0,1,19.40559441,53750.0,0,0,,,,,,,,194,23
42101002200,2281,1018,0,0,1,21.13378685,61731.0,0,0,,,,,,,,244,23
42101002300,2682,1232,0,0,0,7.732149464,74773.0,0,0,,,,,,,,146,11
42101002400,5129,2273,0,0,0,10.6737013,85671.0,0,0,,,,,,,,231,10
42101002500,3769,1669,0,0,1,17.54598258,58281.0,0,0,,,,,,,,262,15
42101002701,3874,1463,0,0,1,26.07417458,57643.0,0,0,,,,,,,,365,24
42101002702,3566,1704,0,0,1,12.17864924,69276.0,0,0,,,,,,,,143,8
42101002801,4324,1561,0,0,1,19.50180967,51386.0,0,0,,,,,,,,405,25
42101002802,5539,2269,0,0,0,11.49465569,74076.0,0,0,,,,,,,,149,6
42101002900,4141,2047,0,0,0,18.94555309,102344.0,0,0,44.31081462,11.00055629,11.73390961,,,5.152022645,,222,10
42101003001,4664,1614,0,1,1,17.87172712,49688.0,0,1,1273.732096,633.8315535,287.5494846,,,260.6649251,,384,23
42101003002,3200,1320,0,0,1,22.20285814,48438.0,0,0,,,,,,,,306,23
42101003100,4437,1840,0,1,1,19.66583879,44674.0,0,1,722.3577619,333.5424966,181.8437523,,,145.4153654,,567,30
42101003200,4875,1797,0,1,1,37.65038924,34972.0,0,1,692.2791867,348.8050511,145.588597,,,153.0298333,,607,33
42101003300,6162,2295,0,1,1,32.87037037,37049.0,0,1,564.931737,207.4555709,127.9358078,,,125.5132645,,804,35
42101003600,6723,2635,0,1,1,42.33274127,24904.0,0,1,2328.882736,1183.841312,577.6743812,,,559.5705202,,943,35
42101003701,6609,2259,0,1,1,29.94052676,37060.0,0,1,3074.300156,1661.241542,421.2356981,,,692.6913086,,770,34
42101003702,3707,1350,0,0,1,22.23053892,42537.0,0,0,,,,,,,,378,28
42101003800,3898,1645,0,0,1,5.985290388,71250.0,0,0,,,,,,,,131,7
42101003901,6062,2674,0,1,1,19.74339623,54007.0,0,1,2211.406734,925.4608961,788.0883886,,,556.2521339,,632,23
42101003902,5507,2448,0,0,1,9.944846605,64962.0,0,0,144.1351843,63.8941319,76.84544539,,,29.31925869,,354,14
42101004001,4259,1915,0,0,1,22.27261876,48861.0,0,0,0.007189359,0.0,0.0,,,0.003393248,,482,25
42101004002,4998,2193,0,1,1,13.9553429,64870.0,0,1,801.7148899,553.8555172,614.9362806,,,250.0262302,,388,17
42101004101,6243,2146,0,0,1,32.90859667,45066.0,0,0,,,,,,,,717,33
42101004102,7848,2688,0,1,1,40.20733475,33098.0,0,1,1607.240643,623.4876585,328.6873652,,,365.3810716,,1001,37
42101004201,5105,2067,0,0,0,13.28461683,73615.0,0,0,,,,,,,,286,13
42101004202,4925,1800,0,0,1,17.59189797,59219.0,0,0,,,,,,,,403,22
42101005000,13,1,0,0,0,0.0,,1,1,0.0,2.000000071,0.0,2.000000071,0.0,0.0,0.0,0,0
42101005400,1314,628,0,0,0,16.70716889,72083.0,0,1,498.9368221,255.0000018,176.0000019,47.35304089,45.56592746,53.50672879,8.6406086,57,9
42101005500,5635,2258,0,1,1,15.02234994,60163.0,0,1,1374.219945,936.9183118,378.1647923,,,239.8391274,,467,20
42101005600,1111,542,0,0,1,41.55251142,20938.0,0,0,58.37723488,47.79631509,4.965653415,,,19.82747469,,301,55
42101006000,6450,2427,0,1,1,24.25787106,42543.0,0,1,1413.39355,875.8973591,144.4127049,,,181.1990671,,541,22
42101006100,3123,1130,0,0,1,20.73426573,43177.0,0,0,,,,,,,,256,22
42101006200,4524,1429,0,0,1,40.33687943,33172.0,0,0,0.0,0.0,0.0,,,0.0,,638,44
42101006300,4236,1344,0,1,1,42.08624428,37820.0,0,1,1132.009154,440.5250602,146.9400367,,,249.6652183,,628,46
42101006400,4472,1417,0,1,1,33.33333333,37703.0,0,1,1407.485979,652.922862,138.8385909,,,206.9561497,,412,29
42101006500,4486,1681,0,0,1,32.01725998,45801.0,0,0,13.24920124,8.866455615,1.432773978,,,3.735118628,,851,50
42101006600,3750,1357,0,0,1,42.46707356,33266.0,0,0,,,,,,,,634,46
42101006700,7472,2495,0,1,1,33.41924399,48869.0,0,1,519.050218,489.2315735,59.71875682,,,227.6707309,,1284,51
42101006900,2539,996,0,1,1,52.48049922,17656.0,0,1,788.0044011,398.076992,26.05336896,,,215.5055696,,686,68
42101007000,3990,1475,0,0,1,17.59175008,34174.0,0,0,,,,,,,,633,42
42101007101,2557,882,0,0,1,40.58268363,30299.0,0,0,,,,,,,,392,44
42101007102,4924,1776,0,0,1,41.53163152,35333.0,0,0,,,,,,,,616,34
42101007200,4773,1730,0,0,1,31.95949129,36550.0,0,0,,,,,,,,524,30
42101007300,3088,1117,0,0,1,30.62995096,40500.0,0,0,,,,,,,,510,45
42101007400,4338,1667,0,1,1,28.38827839,44054.0,0,1,640.5568856,157.2358062,146.2557077,,,213.3569001,,786,47
42101007700,2380,775,0,1,1,38.9212828,53636.0,0,1,1094.599008,147.6962892,186.304841,,,48.67136705,,56,7
42101007800,4177,2017,0,0,1,25.34791252,87386.0,0,0,77.0327301,12.69351351,11.6787139,,,9.570544749,,324,16
42101007900,4553,2116,0,0,0,14.72091597,112593.0,0,0,,,,,,,,241,11
42101008000,3951,1549,0,0,1,29.5022842,56908.0,0,0,,,,,,,,412,26
42101008101,2758,1025,0,0,1,40.00589623,33063.0,0,0,,,,,,,,493,48
42101008102,5028,1871,0,0,1,37.18521164,33510.0,0,0,,,,,,,,555,29
42101008200,6797,2609,0,0,1,25.29421515,42688.0,0,0,0.018216182,0.008383186,0.012574779,,,0.006740803,,625,23
42101008301,4081,1626,0,0,1,22.15419501,52431.0,0,0,,,,,,,,751,46
42101008302,4307,1751,0,0,1,35.07660878,32306.0,0,0,,,,,,,,621,35
42101008400,4488,1731,0,0,1,33.70967742,38165.0,0,0,,,,,,,,678,39
42101008500,6313,2605,0,0,1,40.50614813,30548.0,0,0,,,,,,,,1056,40
42101008601,2947,1416,0,0,1,20.55749129,59508.0,0,0,,,,,,,,98,6
42101008602,3010,1345,0,0,1,26.41737033,72895.0,0,0,,,,,,,,399,29
42101008701,4147,1983,0,0,1,19.40408766,57417.0,0,0,6.657288551,1.783368111,0.594456017,,,0.348252118,,74,3
42101008702,3036,1512,0,0,1,31.83520599,77132.0,0,0,,,,,,,,71,4
42101008801,988,184,0,0,1,50.95057034,,0,0,,,,,,,,10,5
42101008802,6983,1798,0,0,1,60.6386245,83750.0,0,0,18.12026086,1.419744531,0.2839489,,,0.466817029,,53,2
42101009000,5576,1413,0,1,1,60.16346837,113631.0,0,1,1791.515343,53.10181927,67.56397849,,,5.415261726,,8,0
42101009100,2803,1535,0,1,1,47.64227642,66466.0,0,1,279.4323832,66.63824966,48.69126198,,,73.56208977,,323,21
42101009200,2884,1220,0,0,1,41.29247573,24881.0,0,0,,,,,,,,509,41
42101009300,4221,1711,0,0,1,33.91132572,33861.0,0,0,,,,,,,,719,42
42101009400,3827,1724,0,0,1,45.23988948,21726.0,0,0,,,,,,,,985,57
42101009500,3313,1299,0,0,1,40.27909927,26500.0,0,0,,,,,,,,581,44
42101009600,4238,1686,0,0,1,33.68536854,29756.0,0,0,,,,,,,,738,43
42101009801,2184,886,0,0,1,14.44241316,59297.0,0,0,45.30820394,62.11336994,13.84714842,,,9.351404369,,109,12
42101009802,5475,2169,0,1,1,20.69081154,52500.0,0,1,678.1120384,712.8263247,192.5078158,,,179.6792799,,356,16
42101010000,4366,1636,0,1,1,24.15316642,44904.0,0,1,1993.253074,1141.908203,325.8131698,,,493.0862264,,484,29
42101010100,5459,2209,0,1,1,20.40120087,46991.0,0,1,275.6361129,118.6670822,58.12016737,,,73.28066707,,707,32
42101010200,3187,1281,0,0,1,34.50858034,32891.0,0,0,,,,,,,,588,45
42101010300,2449,964,0,0,1,29.51277955,42179.0,0,0,,,,,,,,338,35
42101010400,3332,1171,0,0,1,46.7721678,30625.0,0,0,,,,,,,,751,64
42101010500,3746,1489,0,0,1,47.05107952,39219.0,0,0,,,,,,,,659,44
42101010600,1476,666,0,0,1,39.73961562,27367.0,0,0,,,,,,,,240,36
42101010700,3562,1330,0,0,1,45.21291023,31339.0,0,0,,,,,,,,703,52
42101010800,3611,1362,0,1,1,45.22398673,27813.0,0,1,1672.268985,615.4173797,175.2183982,,,356.5309316,,619,45
42101010900,2313,879,0,1,1,54.89560835,19605.0,0,1,1672.50923,494.5529232,201.2508772,,,315.8829025,,371,42
